|Callsign|Frequency|Service|Channel|Directional Antenna (DA) or NonDirectional (ND)|Hours of Operation for this record - Daytime, Nighttime, or Unlimited|FM Station Class|International Station Class|FM Status|City|State|Country|File Number (Application, Construction Permit or License) or Docket Number (Rulemaking)|Effective Radiated Power -- horizontally polarized  (maximum)|Effective Radiated Power -- vertically polarized  (maximum)|Antenna Height Above Average Terrain (HAAT) -- horizontal polarization|Antenna Height Above Average Terrain (HAAT) -- vertical polarization|Facility ID Number (unique to each station)|N (North) or S (South) Latitude|Degrees Latitude|Minutes Latitude|Seconds Latitude|W (West) or (E) East Longitude|Degrees Longitude|Minutes Longitude|Seconds Longitude|Licensee or Permittee|Kilometers distant (radius) from entered latitude, longitude|Miles distant (radius) from entered latitude, longitude|Azimuth, looking from center Lat, Lon to this record's Lat, Lon|Antenna Radiation Center Above Mean Sea Level (RCAMSL) - Horizontally Polarized - meters|Antenna Radiation Center Above Mean Sea Level (RCAMSL) - Vertically Polarized - meters|Directional Antenna ID Number|Directional Antenna Pattern Rotation (degrees)|Antenna Structure Registration Number|Height of antenna radiation center above ground level (maximum) (physical center of the antenna)|Application ID number (from CDBS database)

|WBJY        |89.3  MHz |FM |207 |ND  |-                   |C1 |-  |LIC    |AMERICUS                 |GA |US |BLED   -20020305AAP |0.     kW |65.    kW |0.0     |187.0   |82835      |N |31 |38 |22.00 |W |83  |44 |58.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|296.   m|-         |-       |1221051 |174.   m|596846    |
|WECC-FM     |89.3  MHz |FM |207 |DA  |-                   |C2 |-  |LIC    |FOLKSTON                 |GA |US |BLED   -20051202AJY |30.    kW |30.    kW |149.1   |149.1   |81294      |N |30 |55 |54.00 |W |81  |42 |30.00 |LIGHTHOUSE CHRISTIAN BROADCASTING CORP.                                     |   0.00 km |   0.00 mi |  0.00 deg |150.   m|150.0  m|70792     |0.      |1234856 |143.9  m|1102964   |
|WRFG        |89.3  MHz |FM |207 |DA  |-                   |C1 |-  |LIC    |ATLANTA                  |GA |US |BLED   -20071001DQH |65.    kW |65.    kW |148.0   |148.0   |54585      |N |33 |48 |26.00 |W |84  |20 |22.00 |RADIO FREE GEORGIA BROADCASTING FOUNDATION, INC.                            |   0.00 km |   0.00 mi |  0.00 deg |432.   m|432.0  m|59867     |0.      |1223132 |167.   m|1208736   |
|WYFK        |89.5  MHz |FM |208 |ND  |-                   |C2 |-  |LIC    |COLUMBUS                 |GA |US |BLED   -19870807KD  |50.    kW |50.    kW |134.0   |134.0   |5144       |N |32 |40 |3.00  |W |84  |57 |19.00 |BIBLE BROADCASTING NETWORK, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |313.   m|313.0  m|-         |-       |-       |110.   m|104286    |
|WYFS        |89.5  MHz |FM |208 |DA  |-                   |C1 |-  |LIC    |SAVANNAH                 |GA |US |BLED   -19890727KA  |100.   kW |91.    kW |183.0   |183.0   |5163       |N |32 |4  |4.00  |W |81  |21 |17.00 |BIBLE BROADCASTING NETWORK, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |191.   m|191.0  m|13980     |0.      |-       |185.   m|131454    |
|WNGU        |89.5  MHz |FM |208 |DA  |-                   |A  |-  |LIC    |DAHLONEGA                |GA |US |BLED   -19980915AAA |0.75   kW |0.75   kW |140.0   |140.0   |76477      |N |34 |31 |29.00 |W |83  |59 |50.00 |GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                |   0.00 km |   0.00 mi |  0.00 deg |573.   m|573.0  m|14798     |0.      |1019716 |133.   m|581027    |
|WYFW        |89.5  MHz |FM |208 |DA  |-                   |A  |-  |LIC    |WINDER                   |GA |US |BLED   -20090909AAI |6.     kW |6.     kW |61.0    |61.0    |5125       |N |33 |59 |29.00 |W |83  |45 |46.00 |BIBLE BROADCASTING NETWORK, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |333.   m|333.0  m|93811     |0.      |-       |34.    m|1332761   |
|WQAI        |89.5  MHz |FM |208 |DA  |-                   |C2 |-  |LIC    |THOMSON                  |GA |US |BLED   -20091105ADM |0.05   kW |49.    kW |145.0   |145.0   |90293      |N |33 |44 |32.00 |W |82  |31 |17.00 |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |275.   m|275.0  m|96690     |0.      |1207199 |46.    m|1357144   |
|WTXR        |89.7  MHz |FM |209 |DA  |-                   |A  |-  |LIC    |TOCCOA FALLS             |GA |US |BLED   -20010125ABQ |0.4    kW |0.4    kW |42.0    |42.0    |77327      |N |34 |35 |57.00 |W |83  |21 |55.00 |TOCCOA FALLS COLLEGE                                                        |   0.00 km |   0.00 mi |  0.00 deg |387.   m|387.0  m|15462     |0.      |1036383 |24.    m|1118648   |
|WMUM-FM     |89.7  MHz |FM |209 |ND  |-                   |C0 |-  |LIC    |COCHRAN                  |GA |US |BLED   -20080429AAG |43.    kW |100.   kW |304.1   |304.1   |23939      |N |32 |28 |11.00 |W |83  |15 |17.00 |GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                |   0.00 km |   0.00 mi |  0.00 deg |408.6  m|408.6  m|-         |-       |1018798 |292.6  m|1244456   |
